id	title	name_src	type	aat_type	ccodes	lon	lat	geom_src	close_match
1000074	Leon	gerhardNE	Villa	inhabited place	["MX"]	-101.676224	21.11956	gerhardNE	
1000075	San Luis de La Paz	tanck	Pueblo	inhabited place	["MX"]	-100.516667	21.2975	tanck	
1000076	San Miguel el Grande	gerhardNE	Villa	inhabited place	["MX"]	-100.740097	20.91116	gerhardNE	["http://vocab.getty.edu/page/tgn/1018251"]
1000077	San Nicolas Actopan	tanck	Pueblo	inhabited place	["MX"]	-98.944722	20.266944	tanck	["http://vocab.getty.edu/page/tgn/1016940"]
1000078	Asuncion Apan	tanck	Pueblo	inhabited place	["MX"]	-98.449722	19.71	tanck	["http://vocab.getty.edu/page/tgn/1017005"]
1000079	villa de San Gaspar Cadereyta	tanck	Villa	inhabited place	["MX"]	-99.820833	20.713056	tanck	["http://vocab.getty.edu/page/tgn/7351535"]
1000080	Santiago Chalco	tanck	Pueblo	inhabited place	["MX"]	-98.8975	19.264722	tanck	["http://vocab.getty.edu/page/tgn/7357128"]
1000081	Asuncion Chilapa	tanck	Pueblo	inhabited place	["MX"]	-99.176667	17.598611	tanck	["http://vocab.getty.edu/page/tgn/1017184"]
1000082	Natividad de La Virgen Coatepec	tanck	Pueblo	inhabited place	["MX"]	-98.846111	19.383889	tanck	
1000083	San Juan Bautista Coyoacan	tanck	Pueblo	inhabited place	["MX"]	-99.161667	19.35	tanck	
1000084	San Buenaventura Cuautitlan	tanck	Pueblo	inhabited place	["MX"]	-99.20754002	19.66221516	tanck	
1000085	Santiago Cuautla	tanck	Pueblo	inhabited place	["MX"]	-98.954722	18.811667	tanck	["http://vocab.getty.edu/page/tgn/1017323"]
1000086	Asuncion Cuernavaca	tanck	Villa	inhabited place	["MX"]	-99.234167	18.918611	tanck	["http://www.geonames.org/3529947", "http://www.wikidata.org/entity/Q204245", "http://vocab.getty.edu/page/tgn/7007109"]
1000087	San Cristobal Ecatepec	tanck	Pueblo	inhabited place	["MX"]	-99.06	19.609722	tanck	
1000088	San Agustin Huejutla	tanck	Pueblo	inhabited place	["MX"]	-98.42	21.140278	tanck	["http://vocab.getty.edu/page/tgn/1017574"]
1000089	San Mateo Huichapan	tanck	Pueblo	inhabited place	["MX"]	-99.648889	20.373333	tanck	["http://vocab.getty.edu/page/tgn/1017578"]
1000090	San Nicolas Ixmiquilpan	tanck	Pueblo	inhabited place	["MX"]	-99.218611	20.482222	tanck	["http://vocab.getty.edu/page/tgn/1017604"]
1000091	San Francisco Ixtlahuaca	tanck	Pueblo	inhabited place	["MX"]	-99.766944	19.568889	tanck	["http://vocab.getty.edu/page/tgn/7393661"]
1000092	Santa Clara Lerma	tanck	Ciudad	inhabited place	["MX"]	-99.511944	19.284722	tanck	["http://vocab.getty.edu/page/tgn/7375349"]
1000093	San Francisco Tenancingo	tanck	Pueblo	inhabited place	["MX"]	-99.590556	18.960833	tanck	["http://vocab.getty.edu/page/tgn/1018432"]
1000094	San Juan Bautista Metepec	tanck	Pueblo	inhabited place	["MX"]	-99.604722	19.251111	tanck	["http://www.geonames.org/3523303", "http://www.wikidata.org/entity/Q1798671", "http://vocab.getty.edu/page/tgn/1136330"]
1000095	San Agustin Metztitlan	tanck	Pueblo	inhabited place	["MX"]	-98.760833	20.592222	tanck	
1000096	San Marcos Mexicaltzingo	tanck	Pueblo	inhabited place	["MX"]	-99.118889	19.355556	tanck	["http://vocab.getty.edu/page/tgn/7378906"]
1000097	Concepcion Otumba	tanck	Pueblo	inhabited place	["MX"]	-98.754722	19.696944	tanck	["http://vocab.getty.edu/page/tgn/7383729"]
1000098	Santiago Queretaro	tanck	Ciudad	inhabited place	["MX"]	-100.392778	20.5875	tanck	
1000099	San Gabriel Tacuba	tanck	Villa	inhabited place	["MX"]	-99.1877215	19.45871353	tanck	["http://vocab.getty.edu/page/tgn/1005699"]
1000100	Taxco	tanck	Poblacion	inhabited place	["MX"]	-99.603333	18.556389	tanck	["http://vocab.getty.edu/page/tgn/7007124", "http://www.geonames.org/8581995", "http://www.wikidata.org/entity/Q990095"]
1000101	Temascaltepec	gerhardNE	Poblacion	inhabited place	["MX"]	-100.033503	19.046866	gerhardNE	["http://vocab.getty.edu/page/tgn/7438408"]
1000102	Asuncion Tenango del Valle	tanck	Pueblo	inhabited place	["MX"]	-99.588889	19.1025	tanck	["http://vocab.getty.edu/page/tgn/1018433", "http://www.wikidata.org/entity/Q2607191", "http://www.geonames.org/8582242"]
1000103	San Juan Bautista Teotihuacan	tanck	Pueblo	inhabited place	["MX"]	-98.860833	19.689722	tanck	["http://www.geonames.org/3515936", "http://www.wikidata.org/entity/Q172613", "http://vocab.getty.edu/page/tgn/7007218"]
1000104	Asuncion Ajuchitlan	tanck	Pueblo	inhabited place	["MX"]	-100.5	18.154167	tanck	["http://vocab.getty.edu/page/tgn/1016966"]
1000105	Asuncion Tetela del Rio	tanck	Pueblo	inhabited place	["MX"]	-100.076667	17.980833	tanck	
1000106	Asuncion Tetepango	tanck	Pueblo	inhabited place	["MX"]	-99.156944	20.1025	tanck	["http://www.geonames.org/8582084", "http://www.wikidata.org/entity/Q3845523", "http://vocab.getty.edu/page/tgn/7439295"]
1000107	San Antonio Texcoco	tanck	Ciudad	inhabited place	["MX"]	-98.881944	19.505556	tanck	["http://www.wikidata.org/entity/Q2047652", "http://vocab.getty.edu/page/tgn/7031745"]
1000108	San Martin Tixtla	tanck	Pueblo	inhabited place	["MX"]	-99.398611	17.565556	tanck	["http://vocab.getty.edu/page/tgn/1018483"]
1000109	San Jose Toluca	tanck	Ciudad	inhabited place	["MX"]	-99.653889	19.292222	tanck	["http://www.wikidata.org/entity/Q209034", "http://www.geonames.org/8583687", "http://vocab.getty.edu/page/tgn/1018520"]
1000110	San Jose Tula	tanck	Pueblo	inhabited place	["MX"]	-99.341667	20.054167	tanck	["http://www.wikidata.org/entity/Q568672"]
1000111	San Juan Bautista Tulancingo	tanck	Pueblo	inhabited place	["MX"]	-98.368611	20.081389	tanck	["http://www.geonames.org/8582095", "http://vocab.getty.edu/page/tgn/1018541", "http://www.wikidata.org/entity/Q1962590"]
1000112	San Bernardino Xochimilco	tanck	Ciudad	inhabited place	["MX"]	-99.1025	19.2625	tanck	["http://vocab.getty.edu/page/tgn/1005956"]
1000113	San Juan Bautista Yahualica	tanck	Pueblo	inhabited place	["MX"]	-98.381944	20.948889	tanck	["http://www.wikidata.org/entity/Q3844619", "http://vocab.getty.edu/page/tgn/7433824", "http://www.geonames.org/8582098"]
1000114	Asuncion Tecpan	tanck	Pueblo	inhabited place	["MX"]	-100.629722	17.220833	tanck	["http://vocab.getty.edu/page/tgn/1018408"]
1000116	Todos Santos Zempoala	tanck	Pueblo	inhabited place	["MX"]	-98.669722	19.915	tanck	["http://vocab.getty.edu/page/tgn/7435092", "http://www.geonames.org/8582101", "http://www.wikidata.org/entity/Q3845508"]
1000117	San Juan Bautista Zimapan	tanck	Poblacion	inhabited place	["MX"]	-99.381944	20.736944	tanck	["http://www.geonames.org/8582102", "http://vocab.getty.edu/page/tgn/1018684", "http://www.wikidata.org/entity/Q2606314"]
1000118	Concepcion Zumpango	tanck	Pueblo	inhabited place	["MX"]	-99.099167	19.796944	tanck	["http://vocab.getty.edu/page/tgn/1018692"]
1000119	San Francisco Angamacutiro	tanck	Pueblo	inhabited place	["MX"]	-101.708333	20.149722	tanck	["http://vocab.getty.edu/page/tgn/1016997"]
1000120	Asuncion Apatzingan	tanck	Pueblo	inhabited place	["MX"]	-102.350833	19.088056	tanck	["http://vocab.getty.edu/page/tgn/1017008"]
1000121	Santiago Ario	tanck	Pueblo	inhabited place	["MX"]	-101.707778	19.206667	tanck	["http://vocab.getty.edu/page/tgn/1017021"]
1000122	San Agustin Caracuaro	tanck	Pueblo	inhabited place	["MX"]	-101.125833	19.016111	tanck	
1000123	San Miguel Charo	tanck	Pueblo	inhabited place	["MX"]	-101.044444	19.745556	tanck	["http://vocab.getty.edu/page/tgn/1017160", "http://www.geonames.org/4014450", "http://www.wikidata.org/entity/Q27786069"]
1000124	San Nicolas Chucandiro	tanck	Pueblo	inhabited place	["MX"]	-101.331389	19.899722	tanck	
1000125	San Diego Cocupao	tanck	Pueblo	inhabited place	["MX"]	-101.522778	19.665278	tanck	["http://vocab.getty.edu/page/tgn/1018091"]
1000126	Magdalena Cuitzeo	tanck	Pueblo	inhabited place	["MX"]	-101.139722	19.968611	tanck	["http://www.geonames.org/8582276", "http://www.wikidata.org/entity/Q3381253", "http://vocab.getty.edu/page/tgn/1017334"]
1000127	Asuncion Erongaricuaro	tanck	Pueblo	inhabited place	["MX"]	-101.720278	19.587222	tanck	
1000128	San Nicolas Huango	tanck	Pueblo	inhabited place	["MX"]	-101.414167	20.002778	tanck	["http://www.wikidata.org/entity/Q12352823", "http://vocab.getty.edu/page/tgn/1018617"]
1000129	Santa Marta Huaniqueo	tanck	Pueblo	inhabited place	["MX"]	-101.504444	19.898611	tanck	["http://vocab.getty.edu/page/tgn/1017562"]
1000130	San Juan Huetamo	tanck	Pueblo	inhabited place	["MX"]	-100.896944	18.626389	tanck	["http://vocab.getty.edu/page/tgn/1017575", "http://www.geonames.org/4004555", "http://www.wikidata.org/entity/Q2651175"]
1000131	Asuncion Indaparapeo	tanck	Pueblo	inhabited place	["MX"]	-100.968333	19.787222	tanck	["http://www.geonames.org/4004394", "http://www.wikidata.org/entity/Q20283810", "http://vocab.getty.edu/page/tgn/1017596"]
1000132	San Francisco Jiquilpan	tanck	Pueblo	inhabited place	["MX"]	-102.717222	19.993611	tanck	["http://www.geonames.org/4003923", "http://vocab.getty.edu/page/tgn/1017644", "http://www.wikidata.org/entity/Q2333867"]
1000133	Coahuayana	gerhardNE	Poblacion	inhabited place	["MX"]	-103.663745	18.700493	gerhardNE	["http://www.wikidata.org/entity/Q958809", "http://vocab.getty.edu/page/tgn/1017244", "http://www.geonames.org/4025994"]
1000134	San Pedro Paracho	tanck	Pueblo	inhabited place	["MX"]	-102.0475	19.641389	tanck	["http://www.wikidata.org/entity/Q20290854", "http://www.geonames.org/8582322", "http://vocab.getty.edu/page/tgn/1018003"]
1000135	Patzcuaro	gerhardNE	Ciudad	inhabited place	["MX"]	-101.6096363	19.5142098	gerhardNE	
1000136	San Juan Bautista Puruandiro	tanck	Pueblo	inhabited place	["MX"]	-101.515556	20.0875	tanck	
1000137	Santa Clara del Cobre	tanck	Poblacion	inhabited place	["MX"]	-101.638333	19.404722	tanck	
1000138	Santa Fe del Rio	tanck	Pueblo	inhabited place	["MX"]	-101.826389	20.203333	tanck	
1000139	San Jeronimo Tacambaro	tanck	Pueblo	inhabited place	["MX"]	-101.456667	19.235	tanck	["http://vocab.getty.edu/page/tgn/1018366"]
1000140	San Ildefonso Taretan	tanck	Pueblo	inhabited place	["MX"]	-101.918056	19.333333	tanck	["http://www.wikidata.org/entity/Q3847224", "http://www.geonames.org/3982377"]
1000141	San Juan Bautista Tiripetio	tanck	Pueblo	inhabited place	["MX"]	-101.347778	19.545278	tanck	
1000142	Tlalpujahua	gerhardNE	Poblacion	inhabited place	["MX"]	-100.173531	19.80648	gerhardNE	["http://www.wikidata.org/entity/Q2605379", "http://vocab.getty.edu/page/tgn/1018503", "http://www.geonames.org/3981464"]
1000143	Tlazazalca	tanck	Pueblo	inhabited place	["MX"]	-102.055556	19.97	tanck	["http://vocab.getty.edu/page/tgn/1018515"]
1000144	San Francisco Uruapan	tanck	Pueblo	inhabited place	["MX"]	-102.061389	19.426111	tanck	["http://vocab.getty.edu/page/tgn/1018567"]
1000145	Zamora	gerhardNE	Villa	inhabited place	["MX"]	-102.28241	19.98905	gerhardNE	["http://vocab.getty.edu/page/tgn/1018673", "http://www.geonames.org/3979802", "http://www.wikidata.org/entity/Q145865"]
1000146	San Pedro y San Pablo Zinapecuaro	tanck	Pueblo	inhabited place	["MX"]	-100.826944	19.858333	tanck	["http://vocab.getty.edu/page/tgn/1018687"]
1000147	San Juan Bautista Zitacuaro	tanck	Villa	inhabited place	["MX"]	-100.358611	19.4375	tanck	
1000148	San Luis Colotlan	tanck	Pueblo	inhabited place	["MX"]	-103.266389	22.114167	tanck	
1000149	San Pedro Mixtepec	tanck	Pueblo	inhabited place	["MX"]	-96.282778	16.270833	tanck	["http://www.geonames.org/3517978", "http://www.wikidata.org/entity/Q3891704", "http://vocab.getty.edu/page/tgn/7393992"]
1000150	Villa De Santa Maria De Oaxaca	tanck	Villa	inhabited place	["MX"]	-96.730278	17.063611	tanck	["http://vocab.getty.edu/page/tgn/7007117"]
1000151	San Juan Huajuapam	tanck	Pueblo	inhabited place	["MX"]	-97.776111	17.804722	tanck	
1000152	San Pedro Huamelula	tanck	Pueblo	inhabited place	["MX"]	-95.665278	16.025	tanck	["http://vocab.getty.edu/page/tgn/1018264", "http://www.geonames.org/3517996", "http://www.wikidata.org/entity/Q3889191"]
1000153	San Pablo Huexolotitlan	tanck	Pueblo	inhabited place	["MX"]	-96.8825	17.276389	tanck	["http://www.wikidata.org/entity/Q3845842", "http://www.geonames.org/3518129"]
1000154	San Juan Chicomezuchil	tanck	Pueblo	inhabited place	["MX"]	-96.495	17.2875	tanck	["http://vocab.getty.edu/page/tgn/7393106"]
1000155	Santa Catarina Ixtepeji	tanck	Pueblo	inhabited place	["MX"]	-96.562222	17.265833	tanck	["http://vocab.getty.edu/page/tgn/7440279", "http://www.geonames.org/3517670", "http://www.wikidata.org/entity/Q986132"]
1000156	Santa Maria Jalapa del Marques	tanck	Villa	inhabited place	["MX"]	-95.445	16.440833	tanck	
1000157	Santiago Jamiltepec	tanck	Pueblo	inhabited place	["MX"]	-97.823333	16.280556	tanck	["http://vocab.getty.edu/page/tgn/1017631", "http://www.wikidata.org/entity/Q2448285", "http://www.geonames.org/3516948"]
1000158	Santiago Juxtlahuaca	tanck	Pueblo	inhabited place	["MX"]	-98.011111	17.333333	tanck	["http://www.geonames.org/3516945", "http://www.wikidata.org/entity/Q3846846"]
1000159	San Andres Miahuatlan	tanck	Pueblo	inhabited place	["MX"]	-96.593056	16.327778	tanck	["http://vocab.getty.edu/page/tgn/1017863"]
1000160	San Pedro Martir Quiechapa	tanck	Pueblo	inhabited place	["MX"]	-96.246667	16.413889	tanck	["http://vocab.getty.edu/page/tgn/7439675"]
1000161	Asuncion Nochixtlan	tanck	Pueblo	inhabited place	["MX"]	-97.225	17.457222	tanck	["http://vocab.getty.edu/page/tgn/1017029"]
1000162	Tehuantepec	gerhardNE	Villa	inhabited place	["MX"]	-95.23156	16.33168	gerhardNE	["http://www.geonames.org/8582990", "http://www.wikidata.org/entity/Q4407914", "http://vocab.getty.edu/page/tgn/1018412"]
1000163	San Pedro Teococuilco	tanck	Pueblo	inhabited place	["MX"]	-96.611667	17.352778	tanck	["http://vocab.getty.edu/page/tgn/7416644"]
1000164	San Miguel Teotitlan del Camino	tanck	Pueblo	inhabited place	["MX"]	-97.072222	18.1325	tanck	
1000165	Teotitlan del Valle	tanck	Pueblo	inhabited place	["MX"]	-96.52	17.029167	tanck	
1000166	San Pedro Teozacualco	tanck	Pueblo	inhabited place	["MX"]	-97.286667	17.015833	tanck	["http://vocab.getty.edu/page/tgn/7439646"]
1000167	San Pedro y San Pablo Teposcolula	tanck	Pueblo	inhabited place	["MX"]	-97.488333	17.510556	tanck	["http://vocab.getty.edu/page/tgn/1018459", "http://www.geonames.org/3517936", "http://www.wikidata.org/entity/Q7415166"]
