id	title	name_src	type	aat_type	parent	close_match
02009	Blanco	alcedo	rio	rivers	la Guayana	
02010	Blanco	alcedo	pueblo	towns	Atacames	
02011	Blanco	alcedo	pueblo	towns	Mariquita	
02012	Blanco	alcedo	rio	rivers	Corregimiento de Chichas y Tarija	
02013	Blanco	alcedo	rio	rivers	Tucuman	
02014	Blanco	alcedo	rio	rivers		
02015	Blanco	alcedo	rio	rivers	Perú	
02016	Blanco	alcedo	rio	rivers	la Luisiana	
02017	Blanco	alcedo	islote	islands	Isla de Cuba	
02020	Blanco	alcedo	cabo	capes		
02021	Blanco	alcedo	cabo	capes	Venezuela	
02022	Blancs	alcedo	monte	mountains		
02023	Blandford	alcedo	pueblo	towns		
02024	Blanquilla	alcedo	isla	islands		
02025	Blanquizales	alcedo	isla	islands	Isla y Gobierno de la Trinidad	
02026	Blas	alcedo	cabo	capes	la Florida	
02027	Blas	alcedo	alcaldía mayor	inhabited places		
02028	Blas	alcedo	pueblo	towns	Reyno de la Nueva Galicia	[https://www.hgis-indias.net/dokuwiki/doku.php?id=9000315]
02029	Blas	alcedo	punta	capes	Reyno de Tierra Firme	
02030	Blaza	alcedo	pueblo	towns	Darien	
02031	Blenfield	alcedo	punta	capes	Nicaragua	
02032	Bleu	alcedo	rio	rivers	la Luisiana	
02033	Bleues	alcedo	rio	rivers		
02034	Bleus	alcedo	monte	mountains		
02035	Blewfields	alcedo	bahia	bays		
02036	Blitas	alcedo	pueblo	towns	Nicaragua	
02037	Block	alcedo	isla	islands		
02038	Block	alcedo	rio	rivers		
02039	Blondel	alcedo				
02040	Blouing	alcedo	punta	capes		
02041	Boavista	alcedo	pueblo	towns	Brazil	
02042	Boavita	alcedo	pueblo	towns	Nuevo Reyno de Granada	
02043	Bobare	alcedo	pueblo	towns	Venezuela	[https://www.hgis-indias.net/dokuwiki/doku.php?id=4000036]
02044	Bobonaza	alcedo	pueblo	towns	Quixos y Macas	
02045	Bobonaza	alcedo	rio	rivers		
02046	Bobures	alcedo	nación de indios	cultural groups	Venezuela	
02047	Boca	alcedo	pueblo	towns	Isla de Cuba	
02048	Boca	alcedo			Nicaragua	
02049	Boca	alcedo			Texas	
02050	Bocaca	alcedo	cabo	capes	Guayaquil	
02051	Boca	alcedo				
02052	Boca	alcedo	rio	rivers	Perú	
02053	Bocaneme	alcedo	pueblo	towns	Mariquita	[https://www.hgis-indias.net/dokuwiki/doku.php?id=5000228]
02055	Bocas	alcedo	pueblo	towns	Reyno del Nueva Vizcaya	
02056	Bocas	alcedo	rio	rivers		
02057	Bocas	alcedo	pueblo	towns	Brazil	
02060	Bocas	alcedo	rio	rivers	Reyno de Goatemala	
02061	Bocas	alcedo	pueblo	towns	Corregimiento de Coquimbo	
02062	Bocauerito	alcedo	pueblo	towns		
02063	Bochalema	alcedo	pueblo	towns	Gobierno y jurisdicción de Pamplona	[https://www.hgis-indias.net/dokuwiki/doku.php?id=5000268]
02064	Bocoabri	alcedo	pueblo	towns	la Sonora	
02065	Bocon	alcedo	pueblo	towns	Nueva España	
02066	Bocuno	alcedo	pueblo	towns	Reyno de Tierra Firme	
02067	Bodega	alcedo	pueblo	towns	Cartagena	
02068	Bodegas	alcedo	pueblo	towns	Guayaquil	
02069	Bodegas	alcedo	pueblo	towns	Honduras	
02070	Bodegon	alcedo	pueblo	towns	Corregimiento de Camaná	
02071	Bodiguas	alcedo	nacion	nations	Santa Marta	
02072	Bodinga	alcedo	pueblo	towns	Santa Marta	
02073	Bogue	alcedo				
02075	Bogota	alcedo	pueblo	towns	Nuevo Reyno de Granada	
02076	Bogota	alcedo	rio	rivers		
02077	Bogota	alcedo	rio	rivers	Atacames	
02078	Boia	alcedo	isla	islands		
02079	Boicaces	alcedo	rio	rivers	Veragua	
02080	Boieruca	alcedo	laguna	lagoons	Corregimiento de Itata	
02081	Boipeba	alcedo	villa	towns	Brazil	
02082	Boids	alcedo	pueblo	towns		
02083	Boinhay	alcedo	rio	rivers	Paraguay	
02084	Bois	alcedo	punta	capes		
02085	Bois	alcedo	rio	rivers		
02086	Bois	alcedo	isla	islands		
02089	Bois	alcedo	lago	lakes		
02090	Bola	alcedo	pueblo	towns	Atacames	
02091	Bolanos	alcedo	pueblo	towns	Provincia del Paraguay	
02092	Bolanos	alcedo	pueblo	towns	Colotlán	
02093	Bolas	alcedo	rio	rivers	Guayaquil	
02094	Boliua	alcedo	pueblo	towns	Cartagena	
02095	Bollera	alcedo	laguna	lagoons	Maracaibo	
02096	Bolos	alcedo	rio	rivers	Guayaquil	
02097	Bombai	alcedo	pueblo	towns	Maracaibo	
02098	Bombasicaro	alcedo	rio	rivers	Reyno de Quito	
02099	Bombe	alcedo	pueblo	towns		
02100	Bombolan	alcedo	pueblo	towns	Tucuman	[https://www.hgis-indias.net/dokuwiki/doku.php?id=9000239]
02101	Bombon	alcedo	puerto	ports		
02102	Bona	alcedo	isla	islands		
02103	Bonaire	alcedo	isla	islands	Cumaná	
02104	Bonaventure	alcedo	isla	islands		
02105	Bonaventure	alcedo	cabo	capes		
02106	Bonavistec	alcedo				
02107	Bond	alcedo	isla	islands		
02108	Bonda	alcedo	pueblo	towns	Santa Marta	[https://www.hgis-indias.net/dokuwiki/doku.php?id=5000379]
02109	Bondas	alcedo	nación de indios	cultural groups	Santa Marta	
02110	Bonifacio	alcedo	pueblo	towns	la Sonora	
02111	Bonifacio	alcedo	monte	mountains	Reyno de Chile	
02112	Bonnechere	alcedo	rio	rivers		
02113	Bonza	alcedo	pueblo	towns	Nuevo Reyno de Granada	
02114	Bonze	alcedo	cabo	capes	Isla de Cuba	
02115	Boon	alcedo	isla	islands		
02116	Boqueron	alcedo			Reyno de Tierra Firme	
02116a	Boqueron	alcedo	isla	islands		
02117	Boqueron	alcedo	punta	capes		
02118	Boqueron	alcedo	ensenada	inlets		
02119	Boquerones	alcedo	cabo	capes		
02120	Boqueta	alcedo			Cartaxena	
02121	Boraute	alcedo	rio	rivers	Venezuela	
02122	Borbon	alcedo	villa	towns	Sierra Gorda	
02123	Bordet	alcedo	pueblo	towns		
02124	Bordones	alcedo	pueblo	towns	Cumaná	
02125	Borgne	alcedo	laguna	lagoons	la Luisiana	
02126	Borgne	alcedo	isla	islands		
02127	Borica	alcedo	isla	islands	Venezuela	
02128	Borilos	alcedo	nación de indios	cultural groups	Perú	
02129	Boriquen	alcedo	punta	capes		
02130	Boriquen	alcedo	isla	islands		
02131	Borja	alcedo	ciudad	citys	Mainas	
02132	Borja	alcedo	pueblo	towns	Reyno del Nueva Vizcaya	
02133	Borja	alcedo			Paraguay	
02134	Borja	alcedo	reyno	kingdoms	Moxos	
02135	Boroa	alcedo	partido	districts	Reyno de Chile	
02136	Borojo	alcedo	pueblo	towns	Maracaibo	[https://www.hgis-indias.net/dokuwiki/doku.php?id=4000082]
02137	Borojo	alcedo	rio	rivers		
02138	Borombon	alcedo	pueblo	towns	Buenos Ayres	[https://www.hgis-indias.net/dokuwiki/doku.php?id=9000625]
02139	Borombon	alcedo	ensenada	inlets		
02140	Boronata	alcedo	pueblo	towns	Nuevo Reyno de Granada	[https://www.hgis-indias.net/dokuwiki/doku.php?id=5000823]
02141	Boros	alcedo	nacion	nations	los Chiquitos	
02142	Borotare	alcedo	pueblo	towns	Santa Marta	[https://www.hgis-indias.net/dokuwiki/doku.php?id=5000628]
02143	Borquxeles	alcedo			Darien	
02144	Borrachos	alcedo	punta	capes	Guayaquil	
02145	Borracna	alcedo	isla	islands	Barcelona	
02146	Borucas	alcedo	villa	towns	Costa-rica	
02147	Boruga	alcedo	cabo	capes	Veragua	
02148	Bosques	alcedo	isla	islands	Isla de Cuba	
02149	Boston	alcedo	ciudad	citys		
02150	Boten	alcedo	rio	rivers	la Guayana	
02151	Botin	alcedo	pueblo	towns	Reyno de Nueva España	
02152	Botonn	alcedo	isla	islands		
02153	Boucan	alcedo	rio	rivers		
02154	Boucasin	alcedo	monte	mountains		
02155	Boucfuka	alcedo	pueblo	towns		
02156	Boucheruille	alcedo	fuerte	inhabited places		
02157	Bouganuille	alcedo	rio	rivers		
02158	Boukhouma	alcedo	rio	rivers	la Luisiana	
02159	Boulanger	alcedo	islote	islands		
02160	Boulanger	alcedo	isla	islands		
02161	Bouquets	alcedo	pueblo	towns		
02162	Boursaul	alcedo	isla	islands		
02163	Bow	alcedo	pueblo	towns		
02164	Boxaca	alcedo	pueblo	towns	Nuevo Reyno de Granada	[https://www.hgis-indias.net/dokuwiki/doku.php?id=5000352]
02165	Boxoleo	alcedo	rio	rivers	Popayan	
02166	Boyaca	alcedo	pueblo	towns	Corregimiento de Tunja	[https://www.hgis-indias.net/dokuwiki/doku.php?id=5000543]
02167	Boyaca	alcedo				
02168	Boza	alcedo	pueblo	towns	Nuevo Reyno de Granada	
02169	Boza	alcedo	pueblo	towns	Isla de Cuba	
02170	Bozaire	alcedo	aldea	towns	Brazil	
02171	Bracuaenda	alcedo	rio	rivers	Buenos Ayres	
02172	Bradford	alcedo	pueblo	towns		
02173	Bragado	alcedo	rio	rivers	Buenos Ayres	
02174	Braintree	alcedo	ciudad	citys		
02175	Bramador	alcedo	cerro	mountains	Corregimiento de Coquimbo	
02176	Branco	alcedo	rio	rivers	la Guayana	
02177	Brandewine	alcedo	puerto	ports		
02178	Brandewine	alcedo	rio	rivers		
02179	Brandford	alcedo	pueblo	towns		
02180	Brantree	alcedo	pueblo	towns		
02181	Brasilr	alcedo	reyno	kingdoms		
02182	Brasilr	alcedo				
02183	Catalogo	alcedo	nacion	nations	Brazil	
02184	Braua	alcedo			Cumaná	
02185	Braua	alcedo	isla	islands	isla de Cuba	
02186	Braua	alcedo	laguna	lagoons	Buenos Ayres	
02187	Brauo	alcedo	rio	rivers	Nueva España	
02188	Brauo	alcedo	rio	rivers	Maracaibo	
02189	Brauo	alcedo	alcaldía mayor	inhabited places	Tampico	
02190	Brauo	alcedo	laguna	lagoons	Buenos Ayres	
02191	Brazos	alcedo	pueblo	towns	Antioquía	
02192	Breacic	alcedo	cabo	capes		
02193	Bred	alcedo	isla	islands		
02194	Breñas	alcedo	pueblo	towns	Venezuela	
02195	Brenteord	alcedo	ciudad	citys		
02196	Bretaña	alcedo				
02197	Bretaña	alcedo	pueblo	towns		
02198	Breton	alcedo				
02199	Bretones	alcedo	isla	islands		
02200	Bribge	alcedo				
02201	Bridlincton	alcedo				
02202	Bridge	alcedo				
02203	Brig	alcedo	isla	islands		
02204	Brigida	alcedo				
02205	Brigges	alcedo	isla	islands		
02206	Brion	alcedo	isla	islands		
02207	Brisans	alcedo				
02208	Brisans	alcedo	islote	islands		
02209	Briseual	alcedo	punta	capes		
02210	Bristol	alcedo	ciudad	citys		
02213	Broad	alcedo	rio	rivers		
02214	Brolle	alcedo	cabo	capes		
02215	Broken	alcedo	isla	islands		
02216	Brookhauen	alcedo	ciudad	citys		
02217	Broquel	alcedo	isla	islands	Darien	
02218	Brotas	alcedo	villa	towns	Brazil	
02219	Brown	alcedo	isla	islands		
02220	Brown	alcedo				
02221	Browers	alcedo	estrecho	straits		
02222	Broyle	alcedo	isla	islands		
02223	Brule	alcedo	islote	islands		
02224	Brunet	alcedo	isla	islands		
02225	Brunsyvick	alcedo	pueblo	towns		
02226	Brunsyvick	alcedo	jurisdiccion	administrative divisions		
02229	Brusjii	alcedo				
02230	Bruxas	alcedo	istmo	isthmuss		
02231	Bry	alcedo	rio	rivers		
02232	Bujouade	alcedo				
02233	Buc	alcedo	ensenada	inlets		
02234	Bucaramanga	alcedo	pueblo	towns	Pamplona	[https://www.hgis-indias.net/dokuwiki/doku.php?id=5000271]
02235	Bucalemu	alcedo	valle	valleys	Reyno de Chile	
02236	Bucalemu	alcedo	pueblo	towns	Corregimiento de Rancagua	[https://www.hgis-indias.net/dokuwiki/doku.php?id=7000294]
02237	Bucaranao	alcedo	playon	shores	Isla de Cuba	
02238	Bucaranao	alcedo	isla	islands		
02239	Buchalema	alcedo	pueblo	towns	Corregimiento de Tunja	
02240	Bucks	alcedo	jurisdiccion	administrative divisions		
02241	Buckingan	alcedo	condado	countys		
02242	Budi	alcedo	rio	rivers	Reyno de Chile	
02243	Buei	alcedo	isla	islands		
02244	Buei	alcedo			Corregimiento de Piura	
02245	Buen	alcedo	pueblo	towns	Tucuman	[https://www.hgis-indias.net/dokuwiki/doku.php?id=9000151]
02246	Buenas	alcedo			Tucuman	
02247	Buen	alcedo	bahia	bays		
02248	Buen	alcedo	rio	rivers		
02249	Buena	alcedo	ciudad	citys	Paraguay	[https://www.hgis-indias.net/dokuwiki/doku.php?id=7000363]
02250	Buena	alcedo	fortaleza	inhabited places	Reyno de Chile	
02251	Buenaventura	alcedo	pueblo	towns	Perú	
02252	Buenaventura	alcedo	pueblo	towns	Toluca	
02253	Buenaventura	alcedo	alcaldía mayor	inhabited places	Tecali	
02254	Buenaventura	alcedo			Guejozingo	
02255	Buenaventura	alcedo	provincia	provinces	Corregimiento de Canta	
02256	Buenaventura	alcedo	alcaldía mayor	inhabited places	Cuiceo	
02257	Buenaventura	alcedo			Coaguila	
02258	Buenaventura	alcedo	provincia	provinces	California	
02259	Buenaventura	alcedo	reyno	kingdoms	Reyno de la Nueva Vizcaya	
02260	Buenaventura	alcedo	provincia	provinces		
02261	Buenaventura	alcedo	sierra	mountain ranges		
02262	Buenaventura	alcedo	mar	seas	Chocó	
02263	Buenaventura	alcedo	isla	islands		
02264	Buenavista	alcedo	ciudad	citys	Cartaxena	
02265	Buenavista	alcedo	villa	towns	Corregimiento de Maule	
02266	Buenavista	alcedo			Cartaxena	
02267	Buenavista	alcedo	pueblo	towns	Santa Marta	
02268	Buenavista	alcedo	provincia	provinces	Sonora	
02269	Buenavista	alcedo			Santa Cruz de la Sierra	
02270	Buenavista	alcedo	provincia	provinces	Corregimiento de Chayanta	
02271	Buenavista	alcedo	bahia	bays		
02272	Buenavista	alcedo	pueblo	towns	Lagos	
02273	Buenavista	alcedo	isla	islands	Isla y Gobierno de la Trinidad	
02274	Buenavista	alcedo			Perú	
02275	Buenavista	alcedo	reyno	kingdoms	Mariquita	
02276	Buenos	alcedo	provincia	provinces		
02277	Obispos	alcedo			Reyno de Chile	
02278	Bufadero	alcedo	isla	islands		
02279	Bufadero	alcedo	puerto	ports	Corregimiento de Truxillo	
02280	Bufalo	alcedo	rio	rivers		
02282	Bufele	alcedo	rio	rivers		
02284	Buffles	alcedo	rio	rivers		
02286	Buga	alcedo	ciudad	citys	Popayan	[https://www.hgis-indias.net/dokuwiki/doku.php?id=5600032]
02287	Bugava	alcedo	pueblo	towns	Veragua	
02288	Buia	alcedo	pueblo	towns	Culiacán	
02289	Buisaco	alcedo	rio	rivers	Reyno de Quito	
02290	Buisaco	alcedo	pueblo	towns	Pastos	
02291	Buisaquillop	alcedo	provincia	provinces	Popayan	
02292	Bujururu	alcedo	pueblo	towns	Brazil	
02293	Buldibuio	alcedo	pueblo	towns	Corregimiento de Cajamarquilla	
02294	Bulklei	alcedo	isla	islands		
02295	Bull	alcedo	isla	islands		
02296	Bull	alcedo	rio	rivers		
02297	Bumbo	alcedo	puerto	ports		
02298	Buono	alcedo	rio	rivers	Reyno de Chile	
02299	Burais	alcedo	nacion	nations		
02300	Burari	alcedo	rio	rivers		
02301	Buraure	alcedo	provincia	provinces		
02302	Burburata	alcedo	pueblo	towns	Venezuela	
02303	Burdens	alcedo	pueblo	towns		
02304	Bureu	alcedo	isla	islands	Reyno de Chile	
02305	Burgados	alcedo	punta	capes		
02306	Burgai	alcedo	cerro	mountains	Corregimiento de Cuenca	
02307	Burgo	alcedo	villa	towns		
02308	Burgo	alcedo	pueblo	towns		[https://www.hgis-indias.net/dokuwiki/doku.php?id=1005519]
02309	Burgos	alcedo	ciudad	citys	la Sierra Gorda	[https://www.hgis-indias.net/dokuwiki/doku.php?id=1004915]
02310	Burguillos	alcedo	pueblo	towns	Corregimiento de Paria	[https://www.hgis-indias.net/dokuwiki/doku.php?id=8000347]
02311	Burguin	alcedo	ciudad	citys		
02312	Buria	alcedo	pueblo	towns	Venezuela	[https://www.hgis-indias.net/dokuwiki/doku.php?id=4000040]
02313	Burins	alcedo	punta	capes		
02314	Buritica	alcedo	villa	towns	Antioquía	
02315	Burlington	alcedo	ciudad	citys		
02316	Burnets	alcedo	pueblo	towns		
02317	Buros	alcedo	isla	islands		
02318	Burrero	alcedo	pueblo	towns	Maracaibo	[https://www.hgis-indias.net/dokuwiki/doku.php?id=4000655]
02319	Burton	alcedo	isla	islands		
02320	Bururu	alcedo	pueblo	towns	Brazil	
02321	Busanio	alcedo	pueblo	towns	la Sonora	
02322	Busbanza	alcedo	pueblo	towns	Corregimiento de Tunja	
02323	Buscies	alcedo	rio	rivers		
02324	Bush	alcedo	pueblo	towns		
02325	Bush	alcedo	rio	rivers		
02327	Busios	alcedo	isla	islands		
02328	Busongote	alcedo	fortaleza	inhabited places		
02329	Butchers	alcedo	rio	rivers		
02330	Buturune	alcedo	pueblo	towns	Brazil	
02331	Buzard	alcedo	bahia	bays		
02332	Buzos	alcedo	rio	rivers		
02333	Caba	alcedo	rio	rivers	País de las Amazonas	
02334	Cababuri	alcedo	rio	rivers	Pais de las Amazonas	
02335	Caballa	alcedo	puerto	ports	Corregimiento de Ica	
02336	Caballa	alcedo	monte	mountains		
02337	Cabana	alcedo	pueblo	towns	Corregimiento de Lucanas	
02338	Cabana	alcedo	provincia	provinces	Santa Cruz de la Sierra	
02339	Cabanilla	alcedo	pueblo	towns	Corregimiento de Lampa	
02340	Cabana	alcedo	pueblo	towns	Corregimiento de Lampa	
02341	Cabana	alcedo	bahia	bays	Isla de Cuba	
02342	Cabana	alcedo	isla	islands		
02343	Cabari	alcedo	pueblo	towns	Corregimiento de Sicasica	[https://www.hgis-indias.net/dokuwiki/doku.php?id=8000135]
02344	Cabaritas	alcedo	bahia	bays		
02345	Cabasson	alcedo	rio	rivers		
02346	Cabelo	alcedo	bahia	bays		
02347	Cabello	alcedo	pueblo	towns	Reyno de Tierra-Firme	
02348	Cabeza	alcedo	bahia	bays		
02349	Cabezas	alcedo	isla	islands		
02350	Cabiari	alcedo	rio	rivers	Pamplona	
02351	Cabieres	alcedo	rio	rivers	los Moxos	
02352	Cabire	alcedo	pueblo	towns	Venezuela	
02353	Cabo	alcedo			Corregimiento de Cuenca	
02354	Cabo	alcedo	capitania	political administrative bodies	Brazil	
02355	Cabo	alcedo	rio	rivers		
02356	Caborca	alcedo	pueblo	towns	la Sonora	[https://www.hgis-indias.net/dokuwiki/doku.php?id=1003954]
02357	Caborca	alcedo	rio	rivers		
02358	Cabuia	alcedo	rio	rivers	Pais de las Amazonas	
02359	Cabra	alcedo	rio	rivers		
02360	Cabrera	alcedo	rio	rivers	Nuevo Reyno de Granada	
02361	Cabrillos	alcedo	laguna	lagoons	Buenos Ayres	
02362	Cabrito	alcedo	rio	rivers		
02363	Cabron	alcedo	cabo	capes		
02364	Cabruta	alcedo	pueblo	towns	Caracas	[https://www.hgis-indias.net/dokuwiki/doku.php?id=4000097]
02365	Cacagual	alcedo	pueblo	towns	Cartagena	
02366	Cacaguan	alcedo	rio	rivers	San Juan de los Llanos	
02367	Cacahuatepec	alcedo	pueblo	towns	Nueva España	
02368	Cacahuatepec	alcedo	jurisdiccion	administrative divisions	Acapulco	
02369	Cacalotepec	alcedo	pueblo	towns	Nexapa	
02370	Cacalotepec	alcedo	pueblo	towns	Villalta	
02371	Cacalotepec	alcedo	pueblo	towns	Guajuapa	
02372	Cacalotepeque	alcedo	pueblo	towns	Nueva España	
02373	Cacalutla	alcedo	pueblo	towns	Ostotipaquillo	[https://www.hgis-indias.net/dokuwiki/doku.php?id=1003667]
02374	Cacamoloatlan	alcedo	pueblo	towns	Nueva España	
02375	Cacapchon	alcedo	pueblo	towns		
02376	Cacapekon	alcedo	rio	rivers		
02377	Cacas	alcedo	pueblo	towns	Corregimiento de Tarma	[https://www.hgis-indias.net/dokuwiki/doku.php?id=6001213]
02378	Cacateapa	alcedo	pueblo	towns	Guauchinango	
02379	Cacha	alcedo	pueblo	towns	Perú	[https://www.hgis-indias.net/dokuwiki/doku.php?id=6000358]
02380	Cachal	alcedo	pueblo	towns	Reyno de Goatemala	
02381	Cachapoal	alcedo	rio	rivers	Reyno de Chile	
02382	Cachi	alcedo	pueblo	towns	Corregimiento de Andahuailas	
02383	Cachi	alcedo	provincia	provinces		
02384	Cachi	alcedo	provincia	provinces	Tucumán	
02385	Cachicamo	alcedo	rio	rivers	Cumaná	
02386	Cachicamo	alcedo			Maracaibo	
02387	Cachillactap	alcedo	gobierno	political administrative bodies		[https://www.hgis-indias.net/dokuwiki/doku.php?id=5600063]
02388	Cachimaio	alcedo	rio	rivers	Reyno dPerú	
02389	Cachin	alcedo	pueblo	towns	Corregimiento de Calca y Lares	[https://www.hgis-indias.net/dokuwiki/doku.php?id=6000230]
02390	Cachin	alcedo	provincia	provinces	Corregimiento de Caxamarca	
02391	Cachipampa	alcedo	llano	plains	Perú	
02392	Cachipo	alcedo	pueblo	towns	Barcelona	[https://www.hgis-indias.net/dokuwiki/doku.php?id=4000371]
02393	Cachipour	alcedo	rio	rivers		
02394	Cachir	alcedo	pueblo	towns	Barcelona	
02395	Cachir	alcedo				
02396	Cachira	alcedo	rio	rivers	Santa Marta	
02397	Cachiri	alcedo				
02398	Cachiyaco	alcedo	pueblo	towns	Tucumán	
02399	Cachiyacu	alcedo	rio	rivers	Corregimiento de Lamas	
02400	Cachoeira	alcedo				
02401	Cachora	alcedo	pueblo	towns	Corregimiento de Abancai	[https://www.hgis-indias.net/dokuwiki/doku.php?id=6000167]
02402	Cachorro	alcedo	rio	rivers		
02403	Cachui	alcedo	pueblo	towns	Corregimiento de Yauyos	
02404	Cachula	alcedo	pueblo	towns	Reyno de Goatemala	
02405	Cachupanas	alcedo	pueblo	towns	Mainas	
02406	Cacla	alcedo	pueblo	towns	Perú	
02407	Caco	alcedo	rio	rivers		
02408	Cacoioc	alcedo	pueblo	towns	Nueva España	
02409	Cacore	alcedo	pueblo	towns	Santa Marta	
02410	Cacota	alcedo	pueblo	towns	Gobierno y jurisdicción de Pamplona	
02411	Cacota	alcedo	pueblo	towns		
02412	Cacrillo	alcedo	pueblo	towns	Perú	[https://www.hgis-indias.net/dokuwiki/doku.php?id=6000648]
02413	Cacuar	alcedo	pueblo	towns	Cumaná	
02414	Cacula	alcedo	pueblo	towns		
02415	Cadaroses	alcedo	laguna	lagoons		
02416	Cadereita	alcedo	villa	towns		
02417	Cadereita	alcedo			Nuevo Reyno de León	
02418	Cadajal	alcedo	laguna	lagoons		
02419	Cadiz	alcedo			Isla de Cuba	
02420	Cadiz	alcedo	pueblo	towns	Isla de Cuba	
02421	Cadodaquis	alcedo	pueblo	towns		
02422	Caete	alcedo	ciudad	citys	Brazil	
02423	Caete	alcedo	rio	rivers		
02424	Caeua	alcedo	rio	rivers	la Guaiana ó Nueva Andalucía	
02425	Cafaiate	alcedo	pueblo	towns	Tucuman	
02426	Cagua	alcedo	pueblo	towns	Venezuela	[https://www.hgis-indias.net/dokuwiki/doku.php?id=4000055]
02427	Caguan	alcedo	pueblo	towns	Nuevo Reyno de Granada	
02428	Caguan	alcedo	rio	rivers		
02429	Caguana	alcedo	rio	rivers	Mainas	
02430	Caguana	alcedo				
02431	Cagassa	alcedo			Jaén de Bracamoros	
02432	Caguasqui	alcedo	pueblo	towns	Reyno de Quito	[https://www.hgis-indias.net/dokuwiki/doku.php?id=5600111]
02433	Cahaguarage	alcedo	pueblo	towns		
02434	Cahabon	alcedo	pueblo	towns	Vera Paz	[https://www.hgis-indias.net/dokuwiki/doku.php?id=2000145]
02435	Cahete	alcedo	pueblo	towns	Brazil	
02436	Cahete	alcedo	villa	towns		
02437	Cahete	alcedo	isla	islands		
02438	Cahi	alcedo	rio	rivers	Paraguay	
02439	Cahi	alcedo	rio	rivers		
02440	Cahoqui	alcedo	pueblo	towns		
02441	Cahoqui	alcedo	rio	rivers		
02442	Cahuac	alcedo	pueblo	towns	Perú	[https://www.hgis-indias.net/dokuwiki/doku.php?id=6001073]
02443	Cahuanca	alcedo	pueblo	towns	Corregimiento de Lucanas	[https://www.hgis-indias.net/dokuwiki/doku.php?id=6000498]
02444	Cahuaio	alcedo	pueblo	towns	Corregimiento de Paria	
02445	Cahung	alcedo	pueblo	towns		
02446	Cahabau	alcedo	rio	rivers		
02447	Caiaa	alcedo	laguna	lagoons	Pais de las Amazonas	
02448	Caiaba	alcedo	rio	rivers	Paraguay	
02449	Caiaga	alcedo	rio	rivers		
02450	Caibacoa	alcedo	pueblo	towns	los Llanos	[https://www.hgis-indias.net/dokuwiki/doku.php?id=5000601]
02451	Caiabos	alcedo	rio	rivers	Tucuman	
02452	Caiacanca	alcedo	pueblo	towns	Brazil	
02453	Calambe	alcedo	pueblo	towns	Corregimiento de Otavalo	
02454	Caiamburo	alcedo	cerro	mountains	Reyno de Quito	
02455	Caiame	alcedo	rio	rivers		
02456	Caiapa	alcedo	rio	rivers	Cumaná	
02457	Caiapas	alcedo	pueblo	towns	Esmeraldas	
02458	Caiapos	alcedo	rio	rivers		
02459	Caiari	alcedo	rio	rivers		
02460	Caicaixixaisi	alcedo				
02461	Caico	alcedo				
02462	Caicos	alcedo	isla	islands		
02463	Caicai	alcedo	pueblo	towns	Corregimiento de Paucartambo	
02464	Caicara	alcedo	pueblo	towns	Cumaná	
02465	Caicara	alcedo	laguna	lagoons	Venezuela	
02466	Caiena	alcedo	isla	islands	la Guayana	
02467	Caiena	alcedo	isla	islands		
02468	Cayetano	alcedo	pueblo	towns	Cartagena	
02469	Cayetano	alcedo	pueblo	towns	la Sonora	
02470	Cayetano	alcedo	pueblo	towns	Brazil	
02471	Caigua	alcedo	pueblo	towns	Cumaná	[https://www.hgis-indias.net/dokuwiki/doku.php?id=4000340]
02472	Caihoca	alcedo	pueblo	towns	Nueva España	
02473	Cayi	alcedo	rio	rivers	Paraguay	
02474	Cailloma	alcedo	pueblo	towns	Collahuas	
02475	Caillou	alcedo	isla	islands		
02476	Caillou	alcedo	rio	rivers		
02477	Caillou	alcedo				
02478	Caima	alcedo	pueblo	towns	Corregimiento de Arequipa	
02479	Caiman	alcedo	pueblo	towns	Darien	[https://www.hgis-indias.net/dokuwiki/doku.php?id=5000896]
02480	Caiman	alcedo	rio	rivers		
02482	Caiman	alcedo	rio	rivers	Reyno de Chile	
02483	Caiman	alcedo				
02484	Caimanes	alcedo	rio	rivers	Pais de las Amazonas	
02485	Caimanes	alcedo	rio	rivers	Moxos	
02486	Caimito	alcedo	pueblo	towns	Cartagena	
02487	Caimitos	alcedo	ensenada	inlets		
02488	Caimitos	alcedo	isla	islands		
02489	Caina	alcedo	pueblo	towns	Corregimiento de Tarma	
02490	Caio	alcedo	isla	islands	Isla de Cuba	
02491	Caio	alcedo				
02493	Caios	alcedo	villa	towns		
02494	Caiola	alcedo	rio	rivers	Nueva España	
02495	Caiomulgi	alcedo	pueblo	towns		
02496	Caiona	alcedo	rio	rivers		
02497	Caione	alcedo	pueblo	towns		
02498	Caione	alcedo	montaña	mountains		
02499	Caipi	alcedo	pueblo	towns	Corregimiento de Aimaraez	
02500	Caiquer	alcedo	pueblo	towns	Chocó	
02501	Cairan	alcedo	pueblo	towns	Corregimiento de Huanuco	
02502	Cairaixaiisgua	alcedo	isla	islands		
02503	Cairu	alcedo	laguna	lagoons	Buenos-Ayres	
02504	Cairu	alcedo	monte	mountains		
02505	Cairu	alcedo	villa	towns	Brazil	
02506	Caitapera	alcedo	rio	rivers		
02507	Caiuz	alcedo	pueblo	towns	Santa Marta	
02508	Caiugaes	alcedo	bahia	bays		
02509	Caiugua	alcedo	rio	rivers	Buenos-Ayres	
02510	Caiza	alcedo	pueblo	towns	Perú	
